Regioes;Ano;Nascimentos Março;Casamentos Junho;Viagens Junho;
Norte;2003;22186;4731;5151;
Nordeste;2003;79672;12565;7233;
Sul;2003;32674;25880;5512;
Sudeste;2003;107407;7475;21820;
Centro-Oeste;2003;20111;4419;5503;
Norte;2004;21697;4357;4099;
Nordeste;2004;77726;14810;8253;
Sul;2004;35049;30882;5781;
Sudeste;2004;108600;8468;23134;
Centro-Oeste;2004;19991;5568;5565;
Norte;2005;24394;3980;4754;
Nordeste;2005;80969;15693;7354;
Sul;2005;34397;29083;6418;
Sudeste;2005;109614;7916;25326;
Centro-Oeste;2005;20776;4709;6177;
Norte;2006;23545;4604;5006;
Nordeste;2006;77934;16117;8686;
Sul;2006;34122;30753;6313;
Sudeste;2006;105227;9024;24332;
Centro-Oeste;2006;20527;5995;6045;
Norte;2007;24270;4691;5211;
Nordeste;2007;79192;16616;9395;
Sul;2007;33439;33042;7304;
Sudeste;2007;105883;9046;27452;
Centro-Oeste;2007;20386;6806;6985;
Norte;2008;23687;6966;5713;
Nordeste;2008;74810;15889;9389;
Sul;2008;32913;32255;7367;
Sudeste;2008;99731;8697;27790;
Centro-Oeste;2008;19753;6317;7511;
Norte;2009;24786;6416;5450;
Nordeste;2009;78703;15824;10077;
Sul;2009;33393;30956;8842;
Sudeste;2009;104434;8450;30807;
Centro-Oeste;2009;20328;5701;8274;
Norte;2010;24422;6594;6122;
Nordeste;2010;75606;16400;11687;
Sul;2010;34898;33959;10051;
Sudeste;2010;106491;8944;35815;
Centro-Oeste;2010;20794;7391;9623;
Norte;2011;24064;6088;6676;
Nordeste;2011;74954;19398;13899;
Sul;2011;34980;33429;10749;
Sudeste;2011;109643;8689;39727;
Centro-Oeste;2011;20595;6498;10426;
Norte;2012;24518;6537;6914;
Nordeste;2012;72780;18790;14151;
Sul;2012;34887;37683;11081;
Sudeste;2012;108910;9914;42280;
Centro-Oeste;2012;20647;8081;10783;
Norte;2013;24648;5967;6789;
Nordeste;2013;69942;18285;13741;
Sul;2013;34258;37923;10305;
Sudeste;2013;101462;9433;41233;
Centro-Oeste;2013;20560;7025;9828;
Norte;2014;25392;5810;6369;
Nordeste;2014;69486;17887;13928;
Sul;2014;35308;35868;9440;
Sudeste;2014;104128;8642;39936;
Centro-Oeste;2014;20964;6532;10235;
Norte;2015;25782;6588;6209;
Nordeste;2015;75035;18939;12857;
Sul;2015;38124;39698;10098;
Sudeste;2015;110991;10022;41195;
Centro-Oeste;2015;22705;7647;10412;
Norte;2016;24759;6533;4408;
Nordeste;2016;72857;19955;10949;
Sul;2016;36484;40210;8823;
Sudeste;2016;106953;9318;37876;
Centro-Oeste;2016;22055;8456;9029;
Norte;2017;25594;7048;4019;
Nordeste;2017;70183;18961;10938;
Sul;2017;38184;39384;8703;
Sudeste;2017;107822;9672;36241;
Centro-Oeste;2017;22098;7482;8431;
