Região;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;;;;;;;;;;;;;;
Norte;21791;19117;22186;21145;21790;19849;20235;19327;19122;17634;16305;14856;233357;;3573344;3430201;3926289;3762413;3851323;3599816;3580558;3460588;3444609;3324798;3125937;3215921
Nordeste;73933;68439;79672;75015;77681;72640;72151;68040;66074;61512;56754;54622;826533;;;;;;;;;;;;;
Sudeste;97201;97065;107407;106880;106155;100332;99305;93667;93496;90288;84088;89219;1165103;;;;;;;;;;;;;
Sul;31150;30208;32674;32946;34246;32294;32453;31737;31796;30431;27663;28988;376586;;;;;;;;;;;;;
Centro-Oeste;18009;17454;20111;19818;19268;18263;17832;17008;17287;16432;15730;15826;213038;;;;;;;;;;;;;
Norte;21830;20017;21697;20831;21185;19644;19544;19160;18797;17704;16787;15064;232260;;;;;;;;;;;;;
Nordeste;69840;67545;77726;76598;77360;70840;69511;67084;65841;61849;56553;54347;815094;;;;;;;;;;;;;
Sudeste;101325;98077;108600;103659;105557;98932;96575;93996;93595;89782;86867;88308;1165273;;;;;;;;;;;;;
Sul;33756;31489;35049;33225;34553;32286;32225;32409;32708;30562;28675;30108;387045;;;;;;;;;;;;;
Centro-Oeste;18078;17650;19991;19411;19528;18127;17686;17624;17495;16482;15674;15917;213663;;;;;;;;;;;;;
Norte;22665;20481;24394;23387;24019;22298;21227;21211;20823;19491;17538;16581;254115;;;;;;;;;;;;;
Nordeste;71582;66990;80969;78025;81971;76210;74279;71525;70256;67094;59970;57493;856364;;;;;;;;;;;;;
Sudeste;94954;93000;109614;103560;106948;98935;96703;94867;94690;90341;86455;87881;1157948;;;;;;;;;;;;;
Sul;31544;30212;34397;33702;35355;32788;32839;32475;32096;30675;28898;30032;385013;;;;;;;;;;;;;
Centro-Oeste;18037;17853;20776;20127;20563;18834;18599;18263;18192;17398;16149;16070;220861;;;;;;;;;;;;;
Norte;22775;20320;23545;22877;23114;21817;21038;21033;21125;21057;18607;17224;254532;;;;;;;;;;;;;
Nordeste;68834;64919;77934;75112;78828;73070;70920;69048;67650;66438;59922;57081;829756;;;;;;;;;;;;;
Sudeste;91846;89907;105227;102003;104669;96168;93339;92345;93285;88845;82041;84823;1124498;;;;;;;;;;;;;
Sul;31578;30017;34122;32840;34281;32441;31700;31319;30709;29215;27254;28940;374416;;;;;;;;;;;;;
Centro-Oeste;18074;17353;20527;20064;20126;18063;17482;17272;17742;17222;15792;16047;215764;;;;;;;;;;;;;
Norte;24598;21796;24270;22574;22794;22076;22016;21863;21110;20340;18260;17691;259388;;;;;;;;;;;;;
Nordeste;68737;63512;79192;74063;77007;71720;70839;67894;65763;63325;58757;59092;819901;;;;;;;;;;;;;
Sudeste;95226;92246;105883;98599;100333;94401;92620;88667;86314;85189;80483;84909;1104870;;;;;;;;;;;;;
Sul;32521;30521;33439;30254;31670;30890;30643;29312;27593;27388;26090;27009;357330;;;;;;;;;;;;;
Centro-Oeste;17986;17456;20386;18842;18881;17641;17344;16630;16374;16269;15321;16110;209240;;;;;;;;;;;;;
Norte;22780;20983;23687;23686;23917;22507;22407;22353;22827;22120;19885;19912;267064;;;;;;;;;;;;;
Nordeste;69072;65368;74810;73993;76073;71186;72357;69230;68546;66578;59865;61362;828440;;;;;;;;;;;;;
Sudeste;91373;90576;99731;98955;100542;93621;94263;88773;91080;88932;82580;89881;1110307;;;;;;;;;;;;;
Sul;29874;30569;32913;31867;32896;30071;30738;30306;30619;29390;27294;29923;366460;;;;;;;;;;;;;
Centro-Oeste;17885;17765;19753;19373;19399;17972;17908;17350;18042;17721;16790;17518;217476;;;;;;;;;;;;;
Norte;24338;21459;24786;23492;22623;21858;21834;21961;22792;21680;19839;19101;265763;;;;;;;;;;;;;
Nordeste;70021;64169;78703;74108;73114;68871;66691;64943;66379;63080;58919;57698;806696;;;;;;;;;;;;;
Sudeste;93872;91915;104434;100458;93782;90090;91553;88697;95054;87312;80526;85798;1103491;;;;;;;;;;;;;
Sul;31678;29458;33393;30643;30062;29797;30475;29611;31200;29570;26808;28524;361219;;;;;;;;;;;;;
Centro-Oeste;18469;17671;20328;19371;18379;17248;17286;16647;18278;17736;16895;16886;215194;;;;;;;;;;;;;
Norte;23851;21462;24422;23234;22896;21640;21854;21582;22463;21540;19273;17958;262175;;;;;;;;;;;;;
Nordeste;65775;62375;75606;71580;73175;67851;68912;66938;67451;64016;58125;56397;798201;;;;;;;;;;;;;
Sudeste;95600;92841;106491;96248;98148;92709;92442;86428;87249;85211;82753;90062;1106182;;;;;;;;;;;;;
Sul;31284;29955;34898;31651;32461;31481;31271;28961;28868;27530;25919;29777;364056;;;;;;;;;;;;;
Centro-Oeste;18827;17946;20794;19179;18530;17814;18251;17368;17768;17319;16023;16824;216643;;;;;;;;;;;;;
Norte;23170;21133;24064;23696;24704;23275;22934;23293;22665;22991;22066;20794;274785;;;;;;;;;;;;;
Nordeste;64209;61913;74954;72325;77754;72397;68875;65818;65713;63797;61292;59368;808415;;;;;;;;;;;;;
Sudeste;96709;94778;109643;99621;104280;96802;95296;92245;86616;83855;83190;88871;1131906;;;;;;;;;;;;;
Sul;32716;31545;34980;32407;33668;31498;32224;30954;29506;27149;26928;29571;373146;;;;;;;;;;;;;
Centro-Oeste;18587;17757;20595;20193;20220;18616;18224;18152;17324;17388;16789;16825;220670;;;;;;;;;;;;;
Norte;24967;22716;24518;23803;24203;22663;22980;23294;22691;23107;21545;21182;277669;;;;;;;;;;;;;
Nordeste;66290;64379;72780;69113;72250;66646;67131;64399;63835;64048;61027;60219;792117;;;;;;;;;;;;;
Sudeste;93733;95684;108910;99107;101683;94314;95132;92785;91626;92618;85909;90484;1141985;;;;;;;;;;;;;
Sul;31879;31435;34887;32028;33484;31827;31729;31309;30154;30284;27903;30178;377097;;;;;;;;;;;;;
Centro-Oeste;18658;18664;20647;18935;19632;18113;18407;18325;18052;18858;17331;17926;223548;;;;;;;;;;;;;
Norte;24579;22248;24648;24934;25437;23698;23835;23408;24337;24037;21973;21174;284308;;;;;;;;;;;;;
Nordeste;66025;60663;69942;69671;73530;67917;68653;65681;66142;63285;57857;57883;787249;;;;;;;;;;;;;
Sudeste;97030;93057;101462;101648;103332;93975;96118;92353;88967;89866;84796;90732;1133336;;;;;;;;;;;;;
Sul;33952;31675;34258;34622;33700;31498;32516;31136;30318;30872;29486;31899;385932;;;;;;;;;;;;;
Centro-Oeste;19255;18021;20560;20564;20846;18735;19294;18612;19107;19054;17933;18394;230375;;;;;;;;;;;;;
Norte;24579;22796;25392;25427;26112;24268;25505;24987;25447;24921;23574;23093;296101;;;;;;;;;;;;;
Nordeste;63608;61686;69486;71081;73354;67603;69715;66916;68718;66541;62423;62425;803556;;;;;;;;;;;;;
Sudeste;100118;97320;104128;102873;104882;97635;100748;93752;93916;88712;87265;95636;1166985;;;;;;;;;;;;;
Sul;34734;32465;35308;34490;35129;32735;34144;32405;32627;29797;28646;32930;395410;;;;;;;;;;;;;
Centro-Oeste;20245;19306;20964;21010;21688;20146;20471;19845;19977;20023;19263;19974;242912;;;;;;;;;;;;;
Norte;25946;23314;25782;25556;25520;24198;24411;24654;25176;24780;23326;22635;295298;;;;;;;;;;;;;
Nordeste;67634;62776;75035;72055;74258;70204;70739;67493;70180;67839;62159;61698;822070;;;;;;;;;;;;;
Sudeste;101359;96648;110991;104496;105995;98925;97916;94064;95311;89401;87161;94898;1177165;;;;;;;;;;;;;
Sul;35123;33349;38124;35324;35845;33783;33782;32177;32587;31143;30510;33239;404986;;;;;;;;;;;;;
Centro-Oeste;20277;19409;22705;21712;21736;20106;20285;19991;20834;19611;19088;20071;245825;;;;;;;;;;;;;
Norte;24975;23481;24759;24546;24670;23784;23649;23886;23968;22997;21288;21063;283066;;;;;;;;;;;;;
Nordeste;64708;63268;72857;71293;74055;69522;69089;64252;61611;58459;53437;54541;777092;;;;;;;;;;;;;
Sudeste;97812;96522;106953;101892;102969;95496;92464;88561;86407;82193;77192;83640;1112101;;;;;;;;;;;;;
Sul;34853;34109;36484;34418;34982;33118;32525;32083;30999;28709;27501;29819;389600;;;;;;;;;;;;;
Centro-Oeste;19802;19682;22055;20980;21482;19756;19193;18638;18461;17910;16622;17495;232076;;;;;;;;;;;;;
Norte;23920;21830;25594;24486;25765;24755;24364;24587;24739;24586;23100;22055;289781;;;;;;;;;;;;;
Nordeste;60339;57922;70183;68900;74683;70425;68921;68281;66174;66292;63252;62718;798090;;;;;;;;;;;;;
Sudeste;89124;90536;107822;100644;106970;100630;97863;94237;91216;87910;87922;90708;1145582;;;;;;;;;;;;;
Sul;31338;31706;38184;34553;36857;34863;33743;33013;31267;29766;29250;31109;395649;;;;;;;;;;;;;
Centro-Oeste;18522;18252;22098;20615;21769;20615;20336;20078;19392;19301;18806;18815;238599;;;;;;;;;;;;;
